6362022.74;5426882.91;39.76
6354797.78;5426900.03;43.78
6347754.58;5432821.57;50.01
6345257.56;5435548.45;43.95
6357823.07;5433257.98;34.63
6350427.04;5441873.96;37.07
6356708.63;5437153.00;40.28
6362458.84;5430329.17;36.04
6352348.84;5440395.90;43.26
6349816.29;5440130.17;43.66
6349138.32;5441655.14;36.08
6348454.20;5441054.17;39.55
6347951.82;5438215.51;50.31
6350003.35;5438084.31;49.34
6351589.03;5438426.00;42.78
6353104.32;5437714.49;41.20
6350866.12;5436434.12;50.71
6348852.02;5435875.46;53.51
6349813.74;5433345.73;46.74
6352298.20;5433074.13;43.12
6353419.02;5435987.44;41.88
6354200.10;5434216.98;40.06
6355581.89;5433362.80;39.65
6355616.08;5430936.96;39.37
6356908.00;5430900.37;40.12
6358959.42;5427583.70;39.80
6360580.23;5430049.52;36.32
6361319.85;5433518.35;44.33
6363194.46;5435212.89;43.81
6360694.23;5435366.11;44.18
6358907.20;5436390.89;31.78
6357517.53;5434036.37;33.23
6356128.36;5436563.55;40.23
6356636.50;5439083.84;35.49
6354092.83;5438638.66;41.50
6353468.55;5439947.92;42.14
6353532.91;5441713.80;42.74
6354094.67;5441652.28;41.74
6363023.82;5431651.95;42.00
6357632.51;5425601.07;42.94
6358307.04;5429627.99;36.11
6359479.14;5432096.76;34.03
6352601.37;5429348.29;46.51
6350401.99;5431301.80;46.39
6352166.57;5432475.75;46.66
6354995.16;5432405.51;40.41
6357380.40;5431953.45;36.31
6359886.07;5436188.27;27.79
6356815.13;5437978.40;40.21
6357479.70;5434938.47;32.46
6352118.72;5441571.95;41.35
6350560.07;5437331.94;49.73
6350491.30;5441547.83;42.34
6348056.71;5442696.27;40.52
6346249.13;5440781.71;40.24
6345968.99;5436286.23;42.34
6348766.15;5439946.48;44.24
6355466.51;5440865.3;27.45
;;
;;
;;
;;
